Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R2,120,R_1206_3216Metric,144.78,-63.1725,-90,top
R3,120,R_1206_3216Metric,156.17,-59.0675,-90,top
R4,120,R_1206_3216Metric,156.19,-64.4025,-90,top
R5,120,R_1206_3216Metric,145.01,-57.6475,-90,top
R6,120,R_1206_3216Metric,116.06,-63.2725,-90,top
R7,120,R_1206_3216Metric,126.57,-59.0275,-90,top
R8,120,R_1206_3216Metric,116.09,-58.3175,-90,top
R9,120,R_1206_3216Metric,126.57,-64.5325,-90,top
R10,R,R_1206_3216Metric,138.655,-110.9975,90,top
U2,~,TCAN1462VDRQ1,138.06,-94.105,-90,top
U3,~,DS26C31TMX,123.92,-65.574262,180,top
U5,~,DS26C31TMX,153.11,-65.574262,180,top
